,sport,name,year,gender,college,ncaa_college,full_prob,part_prob,ncaa_conf,ncaa_div,ncaa_reclass,ncaa_state
97,Basketball,David Muller,1999.0,M,Cornell University,Cornell University,100.0,100.0,The Ivy League,I-FCS,,NY
98,Basketball,Quincy Steele,1999.0,M,University of Redlands,University of Redlands,100.0,100.0,Southern California Intercollegiate Athletic Conf.,III,,CA
99,Basketball,Rudy Wise,1999.0,M,Lake Forest College,Lake Forest College,100.0,100.0,Midwest Conference,III,,IL
100,Basketball,Graham Bunn,1998.0,M,Appalachian State University,Appalachian State University,100.0,100.0,Sun Belt Conference,I-FBS,,NC
101,Basketball,Brent Klassen,1998.0,M,Bowling Green Univesity,Bowling Green State University,71.0,79.0,Mid-American Conference,I-FBS,,OH
102,Basketball,Greg Friel,1998.0,M,Dartmouth College,Dartmouth College,100.0,100.0,The Ivy League,I-FCS,,NH
103,Basketball,Collier Drayton,1998.0,M,Northwestern University,Northwestern University,100.0,100.0,Big Ten Conference,I-FBS,,IL
104,Basketball,Darius Songaila,1998.0,M,"Wake Forest University; Lithuanian Olympic Team, Bronze Medal; CSKA Moskow, European Professional League; Sacramento Kings, Chicago Bulls, Washington Wizards, New Orleans Hornets, NBA","California State University, Sacramento",22.0,52.0,Big Sky Conference,I-FCS,,CA
105,Basketball,Rafael Vidaurreta,1997.0,M,Wake Forest University,Wake Forest University,100.0,100.0,Atlantic Coast Conference,I-FBS,,NC
106,Basketball,Noel Bloom,1997.0,M,New Hampshire College,University of New Hampshire,90.0,100.0,America East Conference,I-FCS,,NH
107,Basketball,Lee Moon,1997.0,M,Texas Christian University,Texas Christian University,100.0,100.0,Big 12 Conference,I-FBS,,TX
108,Basketball,Marko Punda,1997.0,M,Valparaiso University,Valparaiso University,100.0,100.0,Horizon League,I-FCS,,IN
109,Basketball,Michael Roy,1997.0,M,The Citadel,The Citadel,100.0,100.0,Southern Conference,I-FCS,,SC
110,Basketball,J.D. Simpson,1997.0,M,Duke University,Duke University,100.0,100.0,Atlantic Coast Conference,I-FBS,,NC
111,Basketball,Andrew Sloan,1997.0,M,Trinity College,Trine University,67.0,80.0,Michigan Intercol. Ath. Assn.,III,,IN
112,Basketball,Awvee Storey,1997.0,M,"Arizona State University; New Jersey Nets, NBA","Rutgers, The State University of New Jersey, New Brunswick",55.0,67.0,Big Ten Conference,I-FBS,,NJ
113,Basketball,Jason Ashur,1996.0,M,Connecticut College,Connecticut College,100.0,100.0,New England Small College Athletic Conference,III,,CT
114,Basketball,Shawn Brown,1996.0,M,Merrimack College,Merrimack College,100.0,100.0,Northeast-10 Conference,II,,MA
115,Basketball,Antonio Grant,1996.0,M,University of South Carolina,University of South Carolina Aiken,85.0,100.0,Peach Belt Conference,II,,SC
116,Basketball,David Greer,1996.0,M,Millsaps College,Millsaps College,100.0,100.0,Southern Athletic Association,III,,MS
117,Basketball,LaSean Howard,1996.0,M,Long Beach State University,Long Beach State University,100.0,100.0,Big West Conference,I,,CA
118,Basketball,Tyler Murphy,1996.0,M,University of Southern California,University of Southern California,100.0,100.0,Pac-12 Conference,I-FBS,,CA
119,Basketball,Eric Pescinski,1996.0,M,Colby Sawyer College,Colby-Sawyer College,92.0,92.0,North Atlantic Conference,III,,NH
120,Basketball,Jamie Baker,1995.0,M,Bentley College,Bentley University,100.0,100.0,Northeast-10 Conference,II,,MA
121,Basketball,Jon Kunz,1995.0,M,The Citadel,The Citadel,100.0,100.0,Southern Conference,I-FCS,,SC
122,Basketball,Todd Burgan,1994.0,M,Syracuse University,Syracuse University,100.0,100.0,Atlantic Coast Conference,I-FBS,,NY
123,Basketball,Avery Curry,1994.0,M,Florida State University,Florida State University,100.0,100.0,Atlantic Coast Conference,I-FBS,,FL
124,Basketball,Steve Hart,1993.0,M,Indiana University,Indiana State University,70.0,100.0,Missouri Valley Conference,I-FCS,,IN
125,Basketball,Brian Gilpin,1993.0,M,Dartmouth College,Dartmouth College,100.0,100.0,The Ivy League,I-FCS,,NH
126,Basketball,Roy Hariston,1992.0,M,Purdue University,Purdue University,100.0,100.0,Big Ten Conference,I-FBS,,IN
127,Basketball,Roney Eford,1992.0,M,Marquette University,Marquette University,100.0,100.0,Big East Conference,I,,WI
128,Basketball,Chris Parsons,1992.0,M,Hofstra University,Hofstra University,100.0,100.0,Colonial Athletic Association,I,,NY
129,Basketball,Lawrence Moten,1991.0,M,"Syracuse University; Vancouver Grizzlies, NBA",Massachusetts College of Liberal Arts,40.0,40.0,Massachusetts State Collegiate Athletic Conference,III,,MA
130,Basketball,Cuonzo Martin,1991.0,M,Purdue University; Associate Head Coach Purdue University,"Purchase College, State University of New York",43.0,41.0,Skyline Conference,III,,NY
131,Basketball,Kenya Hunter,1991.0,M,Duquesne University; Assistant Coach Georgetown University,Western State Colorado University,44.0,50.0,Rocky Mountain Athletic Conference,II,,CO
132,Basketball,Patrick Knight,1990.0,M,Indiana University; Head Coach Texas Tech,Texas Tech University,49.0,100.0,Big 12 Conference,I-FBS,,TX
133,Basketball,Dan Purdy,1990.0,M,University of Pennsylvania,University of Pennsylvania,100.0,100.0,The Ivy League,I-FCS,,PA
134,Basketball,Ed Cooley,1989.0,M,Stonehill College; Head Coach Fairfield University,Fairfield University,44.0,100.0,Metro Atlantic Athletic Conference,I,,CT
135,Basketball,Will McDonough,2003.0,M,Middlebury College,Middlebury College,100.0,100.0,New England Small College Athletic Conference,III,,VT
136,Cycling,Owen Laurion,2006.0,M,University of Rochester,University of Rochester,100.0,100.0,University Athletic Association,III,,NY
137,Football,Elias Camacho,2014.0,M,Wesleyan University,Wesley College,86.0,100.0,Capital Athletic Conference Inc.,III,,DE
138,Football,Eric Lauro,2014.0,M,Union College,Union University,100.0,100.0,Gulf South Conference,II,,TN
139,Football,Ben Kumph,2014.0,M,Ithaca College,Ithaca College,100.0,100.0,Empire 8,III,,NY
140,Football,Jeff Peras,2013.0,M,Sacred Heart University,Sacred Heart University,100.0,100.0,Northeast Conference,I-FCS,,CT
141,Football,Todd Collier,2013.0,M,Hobart William Smith,Hobart and William Smith Colleges,87.0,80.0,Liberty League,III,,NY
142,Football,Ryder Arsenault,2013.0,M,Colby College,Colby College,100.0,100.0,New England Small College Athletic Conference,III,,ME
143,Football,Mark Marino,2012.0,M,Hobart William Smith,Hobart and William Smith Colleges,87.0,80.0,Liberty League,III,,NY
144,Football,Clint Atkinson,2012.0,M,Assumption College,Assumption College,100.0,100.0,Northeast-10 Conference,II,,MA
145,Football,Javar Coleman,2012.0,M,University of Maine,"University of Maine, Orono",70.0,100.0,America East Conference,I-FCS,,ME
146,Football,Dane Dudick,2012.0,M,Sacred Heart University,Sacred Heart University,100.0,100.0,Northeast Conference,I-FCS,,CT
147,Football,John Guy,2012.0,M,University of Pittsburgh,University of Pittsburgh,100.0,100.0,Atlantic Coast Conference,I-FBS,,PA
148,Football,Jake Kiley,2012.0,M,Penn State University,Kent State University,80.0,80.0,Mid-American Conference,I-FBS,,OH
149,Football,CJ Dawson,2011.0,M,Univeristy of Maine,Livingstone College,53.0,55.0,Central Intercollegiate Athletic Association,II,,NC
150,Football,Kevin Messier,2011.0,M,Wagner College,Wagner College,100.0,100.0,Northeast Conference,I-FCS,,NY
151,Football,Paul Brown,2010.0,M,Hobart & William Smith College,Hobart and William Smith Colleges,88.0,86.0,Liberty League,III,,NY
152,Football,Jet Kollie,2010.0,M,Lafayette College,Lafayette College,100.0,100.0,Patriot League,I-FCS,,PA
153,Football,Andrew Lebowitz,2010.0,M,St. Anslem College,Saint Anselm College,73.0,74.0,Northeast-10 Conference,II,,NH
154,Football,Aaron Lawton,2009.0,M,St. Lawrence University,St. Lawrence University,100.0,100.0,Liberty League,III,,NY
155,Football,Anthony Smalls,2008.0,M,Merrimack College,Merrimack College,100.0,100.0,Northeast-10 Conference,II,,MA
156,Football,Tori Gurley,2008.0,M,South Carolina,South Carolina State University,82.0,100.0,Mid-Eastern Athletic Conf.,I-FCS,,SC
157,Football,Long Ding,2008.0,M,Dean College/Norwich University,Norwich University,70.0,100.0,Great Northeast Athletic Conference,III,,VT
158,Football,Aaron Lawton,2008.0,M,St. Lawrence University,St. Lawrence University,100.0,100.0,Liberty League,III,,NY
159,Football,Jared Kellogg,2008.0,M,WPI,Iona College,29.0,33.0,Metro Atlantic Athletic Conference,I,,NY
160,Football,Patrick Bass,2008.0,M,Dean College/Merrimack College/Framingham State,Framingham State University,65.0,100.0,Massachusetts State Collegiate Athletic Conference,III,,MA
161,Football,Kevin Lynch,2007.0,M,Southern Connectict State University,Southern Connecticut State University,98.0,96.0,Northeast-10 Conference,II,,CT
162,Football,Curt Shappy,2007.0,M,Southern Connectict State University,Southern Connecticut State University,98.0,96.0,Northeast-10 Conference,II,,CT
163,Football,Greg Abelli,2007.0,M,Northeastern/Merrimack,Northeastern University,71.0,100.0,Colonial Athletic Association,I,,MA
164,Football,Mike Forte,2007.0,M,Georgetown College (NAIA),Georgetown University,71.0,100.0,Big East Conference,I-FCS,,DC
165,Football,Carl Ojala,2007.0,M,Castelton State,Clayton State University,79.0,83.0,Peach Belt Conference,II,,GA
166,Football,Matt Dodge,2007.0,M,St. Lawrence Univerity (played soccer at NHS),St. Lawrence University,42.0,100.0,Liberty League,III,,NY
167,Football,Warren Wilson,2006.0,M,University of Massaachusetts,University of Massachusetts Lowell,80.0,94.0,America East Conference,II,I,MA
168,Football,Robert McLaughlin,2006.0,M,UMASS,Utah State University,27.0,20.0,Mountain West Conference,I-FBS,,UT
169,Football,Chris Smalls,2006.0,M,Fordham,Fordham University,100.0,100.0,Atlantic 10 Conference,I-FCS,,NY
170,Football,Joe Garvey,2006.0,M,Hofstra,Hofstra University,100.0,100.0,Colonial Athletic Association,I,,NY
171,Football,Sloan Russett,2006.0,M,UMASS,Utah State University,27.0,20.0,Mountain West Conference,I-FBS,,UT
