Institution,Conference,Division,Reclass Division,State
Salisbury University,Capital Athletic Conference Inc.,III,,MD
Salve Regina University,Commonwealth Coast Conference,III,,RI
Sarah Lawrence College,Skyline Conference,III,,NY
Schreiner University,Southern Collegiate Athletic Conference,III,,TX
University of Scranton,Landmark Conference,III,,PA
Shenandoah University,Old Dominion Athletic Conf.,III,,VA
Simmons College,Great Northeast Athletic Conference,III,,MA
Simpson College,Iowa Intercol. Athletic Conf.,III,,IA
Skidmore College,Liberty League,III,,NY
Smith College,New England Women's and Men's Athletic Conference,III,,MA
University of the South,Southern Athletic Association,III,,TN
University of Southern Maine,Little East Conference,III,,ME
Southern Vermont College,New England Collegiate Conference,III,,VT
Southern Virginia University,Capital Athletic Conference Inc.,III,,VA
Southwestern University (Texas),Southern Collegiate Athletic Conference,III,,TX
Spalding University,St. Louis Intercollegiate Athletic Conference,III,,KY
Springfield College,New England Women's and Men's Athletic Conference,III,,MA
College of Saint Benedict,Minnesota Intercollegiate Athletic Conference,III,,MN
St. Catherine University,Minnesota Intercollegiate Athletic Conference,III,,MN
College of Saint Elizabeth,North Eastern Athletic Conference,III,,NJ
St. John Fisher College,Empire 8,III,,NY
St. John's University (Minnesota),Minnesota Intercollegiate Athletic Conference,III,,MN
University of St. Joseph (Connecticut),Great Northeast Athletic Conference,III,,CT
St. Joseph's College (Brooklyn),Skyline Conference,III,,NY
St. Joseph's College (Long Island),Skyline Conference,III,,NY
Saint Joseph's College (Maine),Great Northeast Athletic Conference,III,,ME
St. Lawrence University,Liberty League,III,,NY
Saint Mary's University of Minnesota,Minnesota Intercollegiate Athletic Conference,III,,MN
Saint Mary's College (Indiana),Michigan Intercol. Ath. Assn.,III,,IN
St. Mary's College of Maryland,Capital Athletic Conference Inc.,III,,MD
St. Norbert College,Midwest Conference,III,,WI
St. Olaf College,Minnesota Intercollegiate Athletic Conference,III,,MN
The College of St. Scholastica,Upper Midwest Athletic Conference,III,,MN
University of St. Thomas (Minnesota),Minnesota Intercollegiate Athletic Conference,III,,MN
Saint Vincent College,Presidents' Athletic Conference,III,,PA
State University of New York Polytechnic Institute,North Eastern Athletic Conference,III,,NY
College of Staten Island,City University of New York Athletic Conference,III,,NY
Stevens Institute of Technology,Empire 8,III,,NJ
Stevenson University,Middle Atlantic Conferences,III,,MD
Stockton University,New Jersey Athletic Conference,III,,NJ
Suffolk University,Great Northeast Athletic Conference,III,,MA
Sul Ross State University,American Southwest Conference,III,,TX
Summit University of Pennsylvania,Colonial States Athletic Conference,III,,PA
Susquehanna University,Landmark Conference,III,,PA
Swarthmore College,Centennial Conference,III,,PA
Sweet Briar College,Old Dominion Athletic Conf.,III,,VA
Texas Lutheran University,Southern Collegiate Athletic Conference,III,,TX
University of Texas at Dallas,American Southwest Conference,III,,TX
The University of Texas at Tyler,American Southwest Conference,III,,TX
Thiel College,Presidents' Athletic Conference,III,,PA
Thomas College,North Atlantic Conference,III,,ME
Thomas More College,Presidents' Athletic Conference,III,,KY
Transylvania University,Heartland Collegiate Athletic Conference,III,,KY
Trine University,Michigan Intercol. Ath. Assn.,III,,IN
Trinity College (Connecticut),New England Small College Athletic Conference,III,,CT
Trinity University (Texas),Southern Collegiate Athletic Conference,III,,TX
Trinity Washington University,,III,,DC
Tufts University,New England Small College Athletic Conference,III,,MA
U.S. Coast Guard Academy,New England Women's and Men's Athletic Conference,III,,CT
U.S. Merchant Marine Academy,Landmark Conference,III,,NY
Union College (New York),Liberty League,III,,NY
Ursinus College,Centennial Conference,III,,PA
Utica College,Empire 8,III,,NY
University of Valley Forge,,III,,PA
Vassar College,Liberty League,III,,NY
Virginia Wesleyan College,Old Dominion Athletic Conf.,III,,VA
Wabash College,North Coast Athletic Conference,III,,IN
Wartburg College,Iowa Intercol. Athletic Conf.,III,,IA
Washington and Jefferson College,Presidents' Athletic Conference,III,,PA
Washington and Lee University,Old Dominion Athletic Conf.,III,,VA
Washington College (Maryland),Centennial Conference,III,,MD
Washington University in St. Louis,University Athletic Association,III,,MO
Waynesburg University,Presidents' Athletic Conference,III,,PA
Webster University,St. Louis Intercollegiate Athletic Conference,III,,MO
Wellesley College,New England Women's and Men's Athletic Conference,III,,MA
Wells College,North Eastern Athletic Conference,III,,NY
Wentworth Institute of Technology,Commonwealth Coast Conference,III,,MA
Wesley College,Capital Athletic Conference Inc.,III,,DE
Wesleyan College (Georgia),Great South Athletic Conference,III,,GA
Wesleyan University (Connecticut),New England Small College Athletic Conference,III,,CT
Western Connecticut State University,Little East Conference,III,,CT
Western New England University,Commonwealth Coast Conference,III,,MA
Westfield State University,Massachusetts State Collegiate Athletic Conference,III,,MA
Westminster College (Missouri),St. Louis Intercollegiate Athletic Conference,III,,MO
Westminster College (Pennsylvania),Presidents' Athletic Conference,III,,PA
Wheaton College (Illinois),College Conference of Illinois & Wisconsin,III,,IL
Wheaton College (Massachusetts),New England Women's and Men's Athletic Conference,III,,MA
Wheelock College,New England Collegiate Conference,III,,MA
Whitman College,Northwest Conference,III,,WA
Whittier College,Southern California Intercollegiate Athletic Conf.,III,,CA
Whitworth University,Northwest Conference,III,,WA
Widener University,Middle Atlantic Conference Commonwealth,III,,PA
Wilkes University,Middle Atlantic Conference Freedom,III,,PA
Willamette University,Northwest Conference,III,,OR
William Paterson University of New Jersey,New Jersey Athletic Conference,III,,NJ
William Peace University,USA South Athletic Conference,III,,NC
Williams College,New England Small College Athletic Conference,III,,MA
Wilmington College (Ohio),Ohio Athletic Conference,III,,OH
Wilson College,North Eastern Athletic Conference,III,,PA
Wisconsin Lutheran College,Northern Athletics Collegiate Conference,III,,WI
"University of Wisconsin, Eau Claire",Wisconsin Intercollegiate Athletic Conference,III,,WI
"University of Wisconsin, La Crosse",Wisconsin Intercollegiate Athletic Conference,III,,WI
"University of Wisconsin, Oshkosh",Wisconsin Intercollegiate Athletic Conference,III,,WI
"University of Wisconsin, Platteville",Wisconsin Intercollegiate Athletic Conference,III,,WI
University of Wisconsin-River Falls,Wisconsin Intercollegiate Athletic Conference,III,,WI
University of Wisconsin-Stevens Point,Wisconsin Intercollegiate Athletic Conference,III,,WI
University of Wisconsin-Stout,Wisconsin Intercollegiate Athletic Conference,III,,WI
University of Wisconsin-Superior,Wisconsin Intercollegiate Athletic Conference,III,,WI
University of Wisconsin-Whitewater,Wisconsin Intercollegiate Athletic Conference,III,,WI
Wittenberg University,North Coast Athletic Conference,III,,OH
The College of Wooster,North Coast Athletic Conference,III,,OH
Worcester Polytechnic Institute,New England Women's and Men's Athletic Conference,III,,MA
Worcester State University,Massachusetts State Collegiate Athletic Conference,III,,MA
Yeshiva University,Skyline Conference,III,,NY
York College (Pennsylvania),Capital Athletic Conference Inc.,III,,PA
York College (New York),City University of New York Athletic Conference,III,,NY
