Institution,Conference,Division,Reclass Division,State
Miami University (Ohio),Mid-American Conference,I-FBS,,OH
University of Michigan,Big Ten Conference,I-FBS,,MI
Michigan State University,Big Ten Conference,I-FBS,,MI
Middle Tennessee State University,Conference USA,I-FBS,,TN
"University of Minnesota, Twin Cities",Big Ten Conference,I-FBS,,MN
University of Mississippi,Southeastern Conference,I-FBS,,MS
Mississippi State University,Southeastern Conference,I-FBS,,MS
Mississippi Valley State University,Southwestern Athletic Conf.,I-FCS,,MS
Missouri State University,Missouri Valley Conference,I-FCS,,MO
"University of Missouri, Columbia",Southeastern Conference,I-FBS,,MO
University of Missouri-Kansas City,Western Athletic Conference,I,,MO
Monmouth University,Metro Atlantic Athletic Conference,I-FCS,,NJ
University of Montana,Big Sky Conference,I-FCS,,MT
Montana State University-Bozeman,Big Sky Conference,I-FCS,,MT
Morehead State University,Ohio Valley Conference,I-FCS,,KY
Morgan State University,Mid-Eastern Athletic Conf.,I-FCS,,MD
Mount St. Mary's University,Northeast Conference,I,,MD
Murray State University,Ohio Valley Conference,I-FCS,,KY
University of Nebraska Omaha,The Summit League,I,,NE
"University of Nebraska, Lincoln",Big Ten Conference,I-FBS,,NE
"University of Nevada, Las Vegas",Mountain West Conference,I-FBS,,NV
"University of Nevada, Reno",Mountain West Conference,I-FBS,,NV
University of New Hampshire,America East Conference,I-FCS,,NH
New Jersey Institute of Technology,Atlantic Sun Conference,I,,NJ
University of New Mexico,Mountain West Conference,I-FBS,,NM
New Mexico State University,Western Athletic Conference,I-FBS,,NM
University of New Orleans,Southland Conference,I,,LA
Niagara University,Metro Atlantic Athletic Conference,I,,NY
Nicholls State University,Southland Conference,I-FCS,,LA
Norfolk State University,Mid-Eastern Athletic Conf.,I-FCS,,VA
University of North Carolina Asheville,Big South Conference,I,,NC
North Carolina A&T; State University,Mid-Eastern Athletic Conf.,I-FCS,,NC
North Carolina Central University,Mid-Eastern Athletic Conf.,I-FCS,,NC
North Carolina State University,Atlantic Coast Conference,I-FBS,,NC
University of North Carolina Wilmington,Colonial Athletic Association,I,,NC
"University of North Carolina, Chapel Hill",Atlantic Coast Conference,I-FBS,,NC
The University of North Carolina at Charlotte,Conference USA,I-FCS,I-FBS,NC
The University of North Carolina at Greensboro,Southern Conference,I,,NC
University of North Dakota,Big Sky Conference,I-FCS,,ND
North Dakota State University,The Summit League,I-FCS,,ND
University of North Florida,Atlantic Sun Conference,I,,FL
University of North Texas,Conference USA,I-FBS,,TX
Northeastern University,Colonial Athletic Association,I,,MA
Northern Arizona University,Big Sky Conference,I-FCS,,AZ
University of Northern Colorado,Big Sky Conference,I-FCS,,CO
Northern Illinois University,Mid-American Conference,I-FBS,,IL
University of Northern Iowa,Missouri Valley Conference,I-FCS,,IA
Northern Kentucky University,Horizon League,II,I,KY
Northwestern State University,Southland Conference,I-FCS,,LA
Northwestern University,Big Ten Conference,I-FBS,,IL
University of Notre Dame,Atlantic Coast Conference,I-FBS,,IN
Oakland University,Horizon League,I,,MI
The Ohio State University,Big Ten Conference,I-FBS,,OH
Ohio University,Mid-American Conference,I-FBS,,OH
University of Oklahoma,Big 12 Conference,I-FBS,,OK
Oklahoma State University,Big 12 Conference,I-FBS,,OK
Old Dominion University,Conference USA,I-FBS,,VA
Oral Roberts University,The Summit League,I,,OK
University of Oregon,Pac-12 Conference,I-FBS,,OR
Oregon State University,Pac-12 Conference,I-FBS,,OR
University of the Pacific,West Coast Conference,I,,CA
University of Pennsylvania,The Ivy League,I-FCS,,PA
Pennsylvania State University,Big Ten Conference,I-FBS,,PA
Pepperdine University,West Coast Conference,I,,CA
University of Pittsburgh,Atlantic Coast Conference,I-FBS,,PA
University of Portland,West Coast Conference,I,,OR
Portland State University,Big Sky Conference,I-FCS,,OR
Prairie View A&M; University,Southwestern Athletic Conf.,I-FCS,,TX
Presbyterian College,Big South Conference,I-FCS,,SC
Princeton University,The Ivy League,I-FCS,,NJ
Providence College,Big East Conference,I,,RI
Purdue University,Big Ten Conference,I-FBS,,IN
Quinnipiac University,Metro Atlantic Athletic Conference,I,,CT
Radford University,Big South Conference,I,,VA
University of Rhode Island,Atlantic 10 Conference,I-FCS,,RI
Rice University,Conference USA,I-FBS,,TX
University of Richmond,Atlantic 10 Conference,I-FCS,,VA
Rider University,Metro Atlantic Athletic Conference,I,,NJ
Robert Morris University,Northeast Conference,I-FCS,,PA
"Rutgers, The State University of New Jersey, New Brunswick",Big Ten Conference,I-FBS,,NJ
Sacred Heart University,Northeast Conference,I-FCS,,CT
Sam Houston State University,Southland Conference,I-FCS,,TX
Samford University,Southern Conference,I-FCS,,AL
University of San Diego,West Coast Conference,I-FCS,,CA
San Diego State University,Mountain West Conference,I-FBS,,CA
University of San Francisco,West Coast Conference,I,,CA
San Jose State University,Mountain West Conference,I-FBS,,CA
Santa Clara University,West Coast Conference,I,,CA
Savannah State University,Mid-Eastern Athletic Conf.,I-FCS,,GA
Seattle University,Western Athletic Conference,I,,WA
Seton Hall University,Big East Conference,I,,NJ
Siena College,Metro Atlantic Athletic Conference,I,,NY
University of South Alabama,Sun Belt Conference,I-FBS,,AL
"University of South Carolina, Columbia",Southeastern Conference,I-FBS,,SC
South Carolina State University,Mid-Eastern Athletic Conf.,I-FCS,,SC
University of South Carolina Upstate,Atlantic Sun Conference,I,,SC
University of South Dakota,The Summit League,I-FCS,,SD
South Dakota State University,The Summit League,I-FCS,,SD
University of South Florida,American Athletic Conference,I-FBS,,FL
Southeast Missouri State University,Ohio Valley Conference,I-FCS,,MO
Southeastern Louisiana University,Southland Conference,I-FCS,,LA
University of Southern California,Pac-12 Conference,I-FBS,,CA
Southern Illinois University at Carbondale,Missouri Valley Conference,I-FCS,,IL
Southern Illinois University Edwardsville,Ohio Valley Conference,I,,IL
Southern Methodist University,American Athletic Conference,I-FBS,,TX
The University of Southern Mississippi,Conference USA,I-FBS,,MS
"Southern University, Baton Rouge",Southwestern Athletic Conf.,I-FCS,,LA
Southern Utah University,Big Sky Conference,I-FCS,,UT
St. Bonaventure University,Atlantic 10 Conference,I,,NY
St. Francis College Brooklyn,Northeast Conference,I,,NY
Saint Francis University (Pennsylvania),Northeast Conference,I-FCS,,PA
St. John's University (New York),Big East Conference,I,,NY
Saint Joseph's University,Atlantic 10 Conference,I,,PA
Saint Louis University,Atlantic 10 Conference,I,,MO
St. Mary's College of California,West Coast Conference,I,,CA
Saint Peter's University,Metro Atlantic Athletic Conference,I,,NJ
Stanford University,Pac-12 Conference,I-FBS,,CA
Stephen F. Austin State University,Southland Conference,I-FCS,,TX
Stetson University,Atlantic Sun Conference,I-FCS,,FL
Stony Brook University,America East Conference,I-FCS,,NY
Syracuse University,Atlantic Coast Conference,I-FBS,,NY
Temple University,American Athletic Conference,I-FBS,,PA
Tennessee State University,Ohio Valley Conference,I-FCS,,TN
Tennessee Technological University,Ohio Valley Conference,I-FCS,,TN
University of Tennessee at Chattanooga,Southern Conference,I-FCS,,TN
"University of Tennessee, Knoxville",Southeastern Conference,I-FBS,,TN
University of Tennessee at Martin,Ohio Valley Conference,I-FCS,,TN
"Texas A&M; University, College Station",Southeastern Conference,I-FBS,,TX
Texas A&M; University-Corpus Christi,Southland Conference,I,,TX
Texas Christian University,Big 12 Conference,I-FBS,,TX
The University of Texas Rio Grande Valley,Western Athletic Conference,I,,TX
Texas Southern University,Southwestern Athletic Conf.,I-FCS,,TX
Texas State University,Sun Belt Conference,I-FBS,,TX
Texas Tech University,Big 12 Conference,I-FBS,,TX
University of Texas at Arlington,Sun Belt Conference,I,,TX
University of Texas at Austin,Big 12 Conference,I-FBS,,TX
University of Texas at El Paso,Conference USA,I-FBS,,TX
University of Texas at San Antonio,Conference USA,I-FBS,,TX
University of Toledo,Mid-American Conference,I-FBS,,OH
Towson University,Colonial Athletic Association,I-FCS,,MD
Troy University,Sun Belt Conference,I-FBS,,AL
Tulane University,American Athletic Conference,I-FBS,,LA
The University of Tulsa,American Athletic Conference,I-FBS,,OK
U.S. Air Force Academy,Mountain West Conference,I-FBS,,CO
U.S. Military Academy,Patriot League,I-FBS,,NY
U.S. Naval Academy,Patriot League,I-FBS,,MD
University of Utah,Pac-12 Conference,I-FBS,,UT
Utah State University,Mountain West Conference,I-FBS,,UT
Utah Valley University,Western Athletic Conference,I,,UT
Valparaiso University,Horizon League,I-FCS,,IN
Vanderbilt University,Southeastern Conference,I-FBS,,TN
University of Vermont,America East Conference,I,,VT
Villanova University,Big East Conference,I-FCS,,PA
University of Virginia,Atlantic Coast Conference,I-FBS,,VA
Virginia Commonwealth University,Atlantic 10 Conference,I,,VA
Virginia Military Institute,Southern Conference,I-FCS,,VA
Virginia Polytechnic Institute and State University,Atlantic Coast Conference,I-FBS,,VA
Wagner College,Northeast Conference,I-FCS,,NY
Wake Forest University,Atlantic Coast Conference,I-FBS,,NC
University of Washington,Pac-12 Conference,I-FBS,,WA
Washington State University,Pac-12 Conference,I-FBS,,WA
Weber State University,Big Sky Conference,I-FCS,,UT
West Virginia University,Big 12 Conference,I-FBS,,WV
Western Carolina University,Southern Conference,I-FCS,,NC
Western Illinois University,The Summit League,I-FCS,,IL
Western Kentucky University,Conference USA,I-FBS,,KY
Western Michigan University,Mid-American Conference,I-FBS,,MI
Wichita State University,Missouri Valley Conference,I,,KS
College of William and Mary,Colonial Athletic Association,I-FCS,,VA
Winthrop University,Big South Conference,I,,SC
University of Wisconsin-Green Bay,Horizon League,I,,WI
"University of Wisconsin, Madison",Big Ten Conference,I-FBS,,WI
"University of Wisconsin, Milwaukee",Horizon League,I,,WI
Wofford College,Southern Conference,I-FCS,,SC
Wright State University,Horizon League,I,,OH
University of Wyoming,Mountain West Conference,I-FBS,,WY
Xavier University,Big East Conference,I,,OH
Yale University,The Ivy League,I-FCS,,CT
Youngstown State University,Horizon League,I-FCS,,OH
Abilene Christian University,Southland Conference,II,I-FCS,TX
Academy of Art University,Pacific West Conference,II,,CA
Adams State University,Rocky Mountain Athletic Conference,II,,CO
Adelphi University,Northeast-10 Conference,II,,NY
University of Alabama in Huntsville,Gulf South Conference,II,,AL
University of Alaska Anchorage,Great Northwest Athletic Conference,II,,AK
University of Alaska Fairbanks,Great Northwest Athletic Conference,II,,AK
Albany State University (Georgia),Southern Intercol. Ath. Conf.,II,,GA
